,birth year,tripduration,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,avgduration
0,1899,1114.952941,1258.191489,1393.531915,1508.258621,1541.864865,1863.735294,465.2380952,719.4444444,1026.428571,676.5263158,873.0784314,956.8571429,1261.432432,1288.051724,1358.439024,1130.526316,1204,714.6,1143.333333,1547.5,1079.769231,1086.578947,969.15625,1029.959184,1133.404255,889.22,821.2765957,982.8737864,717.5795455,776.7936508,803.3650794,814.4361702,2403.038835,822.4558824,779.5555556,901.0446429,1053.026087,1067.9,976.0169492,953.8617021,1148.626506,1960.642857,899.3392857,29372,799.9487179,734.9,740.125,996.8181818,1379.5,761.452381,957.244898,898.3684211,1404,822.5925926,522.0757576,531.2222222,1554.217145
1,1900,1423.418182,992.1369863,781.3715847,918.2623762,977.5416667,1027.469136,901.9565217,982.0294118,1073.978723,1061.472906,1019.674897,933.3535714,1058.966346,905.8044444,1016.034826,896.2023121,969.7627119,939.4956522,1111.707865,1099.216867,1049.294118,1212.673469,1260.458333,1201.833333,996.5121951,978.6666667,874.8571429,1215.142857,1169.923077,1669.888889,1130.125,1077.894737,1109.205882,5754.333333,1067.4,1284.8,835.7419355,859.5277778,1530,1094,1229,617,1621.9,820.9545455,963.5,12920.2,1456.5,1194.545455,805.5423729,1478.380952,955,1126.5,890.137931,669.3114754,746,340.6090909,1344.593171
2,1901,1105.571429,1029.013889,981.4246575,1024.805556,926.8947368,1063.636364,1200,1330.636364,652.3870968,663.9375,623.369863,734.2575758,729.5,705.4090909,722.2923077,783.5416667,805.877551,618.7333333,1052,1217.444444,1160.7,1087.213793,1119.164557,1182.626866,1166.728814,1231.142857,1726.615385,870.2777778,1335.642857,1000.06087,1088.458333,784.0693069,874.5619835,978.8787879,359.1428571,701.9666667,1337.5,2407,687.4642857,855.9583333,485.7333333,792.2727273,709.5,779.375,389.6666667,988.1111111,1183.25,1468.6,1226.909091,669.4545455,1728.090909,1149.2,1098.4,1115,585.28826,533.2335165,979.071302
3,1910,710.6666667,1300,835,963.4444444,964.4444444,822,1401.75,574.8,1477.125,1053.666667,691.5,556.6666667,1130.5,859,510.6666667,569.7272727,703.3333333,1529.5,1430,1659,831,884.2222222,1015.37931,1825.689655,934.8,875.5909091,1068.976608,1048.005917,872.4,985.9,1227.388889,1538.5,1088.176471,949.7981651,1175.333333,284,247,386.2,175,779,711.1428571,691.2307692,666.3333333,308.75,758.5333333,745.5789474,581.55,600.2222222,727.5238095,1031.076923,1185.75,1379,1333.847458,652,585.8295455,744.625,904.2526221
4,1913,1485.461538,1528.285714,1182,1323.458333,1238.588235,1512.705882,1644.5,1613.25,1026,659.7142857,1187.119048,1064.961538,1645.363636,1245.375,1474.875,1464.6,1719,354.1666667,425.8823529,478.4166667,1215.666667,1653,655,796.6,956,610.4,921.3846154,887.2222222,682.5,6607,1279,1042,1020.5,1074.482759,1057.813953,873.4210526,961.35,937.5,367,1109.5,829.1754386,690.6,974.48,671.8888889,531,935.6,874.4615385,1154.2,588.25,5906,1082,12629.33333,630,1281,926.85,1210.5,1426.721507
5,1920,807.6071429,1314.666667,1846.3,1489.5,929.9333333,1086.2,1249,112,839,1355.272727,810,968.5625,964.125,688.125,911.1666667,690.7142857,374,521.4,574.25,634,517.25,563.0344828,607.1666667,853.4,807.0952381,548.25,396.6875,569.7380952,206.8,341.6666667,137.4347826,177.7692308,351.1111111,540.6388889,1051.96875,1025.829457,1110.386139,821.25,653.8333333,1015,836.7272727,687.5757576,811.8555556,874.5,1246.322581,601,982.4,341.3333333,925.1875,725.8,709.25,455.6388889,399.5,284.3623446,3096.257092,453.578125,783.8111092
6,1921,638.08,461.6153846,1403.75,1018.5,1491,499.6666667,71,700,616.8461538,385,1176.923077,806.75,611.625,861.75,770.8571429,76,455.6,672,312.7,548.3333333,445.6666667,771.1111111,813.8205128,491.25,1306.4,1414.615385,1306.909091,1213.2,1127,641.5,476,967,870.125,1154.55,848.5333333,1134.470588,1016.368421,1160.565934,1098.202312,449.2580645,1001.058333,954.617284,989.5416667,873.8,952.9,761.5625,807.7307692,866.5121951,813.5,744.05,550.96,910.4313725,694.2692308,1140.166667,812.8578431,912.2047497,822.6911748
7,1922,535,577.1304348,1223.7,483.2727273,411.8,583.1111111,473.7894737,389,508.0344828,609.8571429,270,413.6363636,589,792,812,735.8333333,659.5,837.7777778,444.5,3469,1001.777778,408.5833333,570,768.8333333,965.3333333,1033.333333,810.7777778,952.2857143,1978,495.5,371,615.5,583.3333333,524,828.6206897,1990.428571,488,846.1833333,969.212766,1080.409574,1175.65625,979.1,143.9230769,928.1234568,1185.483871,950.7169811,976.8627451,1085.911392,932.972973,371.5,932.625,1069.846154,998.75,671,445.6390086,519.1404348,811.8983404
8,1924,387.6666667,638.09375,987.8333333,719.1090909,479.2352941,871.5,753.25,415.6875,406.3636364,579.4,594.0769231,738.5263158,818.3513514,895.5,955.0416667,662.6666667,839.3125,469.5,443.3,336,229.7209302,1361.5,2234.866667,409,1860,2332,411.6666667,771.2352941,415.2222222,911.2307692,538.5,1141,656,971.9285714,1583,424.6052632,701.0833333,1338.8,282.1290323,906.75,150.8333333,187.8214286,904.4285714,1000.354839,512,841.027027,959,1019.968254,961.421875,969.6428571,659,359.0907945,250.413452,216.8571429,502.2431034,716.9354839,762.1730644
9,1926,787,654.5,434.0833333,449.5,524.8,821.7647059,494.25,864.6,1092.363636,778.8666667,437.0909091,599.4,1890.5,1693.5,1592.75,950.1363636,459.5,294.4444444,292.59375,1018.5,436.0526316,381.7777778,770.2857143,1496.666667,408,776.9166667,467.8333333,644.3333333,550.5454545,487.037037,406.1111111,130,231.5,384.4666667,1920,676.4,557,330.5517241,971.5,263.5128205,1003.97561,899.1578947,3570.125,1326,254.7058824,482.5,1099.666667,1036,1014.171429,851.766055,764.1428571,1161.576923,1012.285714,877.6,677.4418605,608.4296875,804.6460773
10,1927,444.8571429,631.8571429,597.3243243,868.72,744.5,482.3,789.5,533,560,721.0952381,755.5,852.2777778,250,622.3333333,518.5,1756.6,503,205.5,567.28,266.1282051,786.5,336.5555556,694,867,377.6,773,651.1,683,1295,481.08,664.8,809.4545455,1092.105263,770.2777778,1052.666667,1900.5,1852.333333,724,1309.909091,989.5517241,710,633.4166667,331.6666667,271.0454545,742.8333333,201.7037037,343.3055556,428.4782609,405.0869565,1171.052632,901.5,756.6666667,174.8947368,276.5,483.9166667,355.0639205,695.8542561
11,1930,1557.75,643.7142857,698.1428571,485.3333333,475.6153846,1711.333333,365,576,658,1761,842.2857143,1883,634.744186,546.8571429,601.7878788,556.6666667,1084,566,521.6315789,467.9285714,485,835.2051282,480.55,584.32,1159,3383,2353.454545,690,772.7674419,758.8,623.5833333,617.1666667,8781,516.6,569.2142857,799.3448276,773.5555556,1696.166667,1102.423077,988.625,280.6363636,353.6363636,467.0909091,771.3333333,577.6363636,736.4166667,901.3529412,825.9666667,762.2857143,1824.666667,1295.269231,196.40625,923.0555556,516.5,402.9705882,652.6136364,1001.685798
12,1932,1199.707692,1976.333333,631.2058824,1292.214286,903.0833333,540.2222222,473,403.3,682.8888889,1855,747.5,1465.333333,454.9285714,340.2321429,434.7692308,589,384.9047619,372.8148148,527.75,396.8333333,653.4343434,2168.947368,296.3103448,1871,1169.5,483.5,2898,850.862069,1038.333333,603.0882353,766.375,803.8,587.3076923,385.8571429,1275.555556,1275.066667,352.7142857,1398.733333,379.125,355.2307692,262,207,1373,298,470.3333333,1336.2,2157,1618.666667,1647.357143,468.8888889,425.8139535,1363.361111,465,673.4285714,1266.087349,375.1305221,887.3398305
13,1933,534.0188679,1169.75,933,1344.4,695.5,2212.948718,456.28,579.5714286,468.8636364,572.0588235,504,534.4333333,690.1153846,511.4590164,608.5066667,378.5625,352.8627451,378.0892857,1031.779817,1124.17,1399.571429,762.5555556,802.6521739,443.9189189,594.4431818,620.72,596.4193548,499.28125,631.2666667,1037.586207,371.1666667,555.4444444,3113.75,26777,373.5882353,1401,547.25,708.7777778,359.6,1311.785714,657.3333333,343.2857143,195,416.1111111,134,558,403.2,602.75,2987.75,423.4545455,1200.076923,1719.75,559,246.875,256.0375552,465.8291971,1234.939307
