stationid,totalstartstation
519,576119
497,434957
435,405947
426,320362
402,288562
293,280450
285,261909
521,232402
490,220753
459,159514
151,121271
514,113876
3255,97995
477,89885
284,62286
327,60682
368,58784
499,52940
3263,49146
382,48795
2006,46707
281,37290
318,35114
523,30482
379,29748
529,24012
127,14840
444,13829
520,13696
359,11129
387,8916
358,8398
537,8292
528,7902
380,7817
492,5293
504,4277
3168,3790
168,3098
3203,1800
3195,1711
3183,1682
517,1624
3202,1254
3267,1115
3211,833
3213,800
3184,766
3269,411
3185,335
