stationid,totalendstation
519,519336
497,457544
435,403071
426,333331
293,289009
402,286763
285,253905
521,194284
459,191506
477,135455
490,133884
514,125163
284,121012
3255,113914
151,113231
382,92556
499,80915
368,62585
327,52148
3263,50798
2006,45014
520,27726
318,24015
492,21050
387,19251
127,15014
379,11184
444,10022
3002,9277
523,8948
358,8637
168,8353
380,7777
494,7596
281,7224
363,6402
537,4806
504,4287
3186,4246
3183,1983
3203,1762
3195,1423
3202,1231
3267,1008
3184,872
3211,824
3199,409
3185,408
3212,337
3187,326
