stationid,totalbottomstartstation
290,1
3385,1
3434,1
3138,1
3633,1
3647,1
3543,1
3631,1
3662,1
428,1
212,2
294,2
3440,2
3446,2
298,2
3248,2
3646,2
3426,2
3130,3
320,4
489,4
3326,4
3332,4
3089,4
3098,4
3610,4
3586,4
147,5
3611,5
164,5
3594,5
3454,6
3591,6
153,6
3266,7
3232,8
3376,8
3215,8
3271,8
3274,8
3217,8
3014,9
3470,9
3155,9
3216,9
3340,10
493,10
3609,10
3487,10
3605,11
3636,11
508,13
3241,13
3353,13
504,13
3386,14
3324,14
3182,14
3200,14
3242,15
359,15
3476,15
3596,15
3189,15
3017,16
3488,17
3485,17
3559,17
3049,19
3114,19
394,20
3229,20
3252,20
3254,21
3441,21
3046,23
3654,23
3557,23
3036,25
3238,25
3188,26
3268,26
3190,26
3474,28
3277,28
3620,29
3042,30
3056,30
3040,30
3456,30
3099,35
3650,36
3201,37
271,38
347,42
3250,42
278,45
3337,45
3065,47
3180,51
3240,51
3371,53
3512,54
217,55
3352,57
3253,62
524,64
3477,67
3048,68
216,72
3100,72
3219,74
375,75
3226,79
3239,83
3080,84
3330,90
160,91
3077,96
3394,97
453,97
3330,104
339,106
398,107
3489,110
3154,117
3393,118
3085,119
3243,120
3249,122
255,126
3230,128
3137,129
376,134
3221,138
3468,152
437,163
418,170
3219,175
3097,177
3063,184
218,198
233,199
406,200
3237,200
527,203
3342,203
3395,207
502,214
3041,215
322,230
3245,240
3257,247
538,251
3394,299
282,308
3128,308
3432,317
3333,324
392,333
391,333
344,372
343,383
3043,433
3053,434
253,437
3123,475
3075,569
279,658
3179,702
3061,969
144,970
3044,982
321,1030
3059,1049
245,1119
409,1138
419,2103
2005,2649
2001,3177
436,3292
119,3700
431,4422
443,4797
372,4975
289,5032
