stationid,totalbottomendstations
3164,1
3165,1
3212,1
153,1
3206,1
3191,1
3357,1
3345,1
3138,1
3439,1
3136,1
3257,1
475,1
3272,1
3201,1
3633,1
511,1
3471,1
3647,1
3268,1
3280,1
3209,1
3278,1
3277,1
3631,1
3645,1
514,1
520,1
3662,1
3428,1
309,1
377,1
462,1
294,2
3220,2
3192,2
3385,2
3394,2
3440,2
3089,2
3447,2
3205,2
147,2
3273,2
3470,2
3270,2
3636,2
3543,2
3652,2
303,2
3039,3
3130,3
3243,3
3225,3
3014,3
3196,3
3276,3
3434,3
3332,3
298,3
3468,3
3248,3
3481,3
3668,3
3211,4
3187,4
3247,4
3446,4
3098,4
3200,4
428,4
212,5
3279,5
3197,5
3275,5
327,5
3271,5
320,6
3202,6
3198,7
3254,7
3454,7
3274,7
3217,7
3485,8
3426,8
3594,9
3186,10
3213,10
3185,10
3199,10
3487,10
3232,11
3650,11
3214,13
3188,13
3488,14
3216,15
3128,16
3049,16
3183,17
3267,17
3059,18
3237,18
3099,18
3036,18
3229,20
3450,20
508,21
3041,21
3184,22
3242,23
3040,23
398,25
271,25
3214,27
3046,28
3239,28
3042,29
3252,29
3180,34
524,40
394,40
383,46
481,46
278,51
3230,51
3245,53
347,61
218,62
3080,79
150,85
2021,97
3240,105
3077,106
3226,111
423,119
525,123
3250,123
3137,129
3019,151
253,152
339,153
3044,154
437,165
527,187
3219,187
3061,189
3017,196
406,205
255,210
322,212
3053,214
502,243
391,266
538,268
2023,338
275,344
282,349
279,389
407,390
409,485
216,487
233,502
144,628
321,946
419,1943
2005,2147
245,2605
372,3068
436,3096
2001,3213
119,3372
443,4093
431,4227
289,4799
