month,totaltrips,totalcustomers,totalsubscribers,peaksummerhours,summerhours,peakwinterhours,winterhours
13-Jul,843416,174915,668501,7/1/13 18:00,18,,
13-Aug,1001958,186056,815902,8/1/13 17:00,17,,
13-Sep,1034359,145169,889190,,,,
13-Oct,1037712,97446,940266,,,,
13-Nov,675774,43973,631801,,,,
13-Dec,443966,19381,424585,,,12/1/13 14:00,14
14-Jan,300400,7454,293146,,,1/1/14 18:00,18
14-Feb,224736,6717,218019,,,2/1/14 8:00,8
14-Mar,439117,22882,416235,,,,
14-Apr,670780,63047,607733,,,,
14-May,866117,107551,758566,,,,
14-Jun,936880,118205,818675,6/1/14 20:00,8,,
14-Jul,968842,119064,849778,7/14/18 18:00,18,,
14-Aug,963489,135874,827615,8/1/14 16:00,16,,
14-Sep,953887,99315,854572,,,,
14-Oct,828711,69083,759628,,,,
14-Nov,529188,28008,501180,,,,
14-Dec,399069,16495,382574,,,12/1/14 8:00,8
15-Jan,285552,5628,279924,,,1/1/15 8:00,8
15-Feb,196930,2265,194665,,,2/1/15 18:00,18
15-Mar,341826,12851,328975,,,,
15-Apr,652390,66213,586177,,,,
15-May,961986,167544,794442,,,,
15-Jun,941219,130381,810838,6/1/15 18:00,18,,
15-Jul,1085676,180362,905314,7/1/15 8:00,8,,
15-Aug,1179044,220996,958048,8/1/15 18:00,18,,
15-Sep,1289699,210107,1079592,,,,
15-Oct,1212277,146511,1065766,,,,
15-Nov,987245,100596,886649,,,,
15-Dec,804125,67877,736248,,,12/1/15 8:00,8
16-Jan,509478,24543,484935,,,1/1/16 8:00,8
16-Feb,560874,29825,531049,,,2/1/16 9:00,9
16-Mar,919921,93238,826683,,,,
16-Apr,1013149,130465,882684,,,,
16-May,1212280,160014,1052266,,,,
16-Jun,1460318,156832,1303486,6/1/16 13:00,13,,
16-Jul,1380110,201891,1178219,7/1/16 18:00,18,,
16-Aug,1557663,218240,1339423,8/1/16 17:00,17,,
16-Sep,1648856,221217,1427639,,,,
16-Oct,1573872,153342,1402581,,,,
16-Nov,1196942,85940,1098468,,,,
16-Dec,812192,32526,774278,,,12/1/16 8:00,8
17-Jan,726676,23018,700465,,,1/1/17 8:00,8
17-Feb,791647,42916,741151,,,2/1/17 8:00,8
17-Mar,727665,26777,695752,,,,
17-Apr,1315404,188860,1126544,,,,
17-May,1523268,189760,1333508,,,,
17-Jun,1731594,214642,1516952,6/1/17 17:00,17,,
17-Jul,1735599,261712,1473887,7/1/17 8:00,8,,
17-Aug,1816598,258059,1558439,8/1/17 8:00,8,,
17-Sep,1897592,234989,1643109,,,,
17-Oct,1330649,205000,1692592,,,,
17-Nov,1330649,89296,1241353,,,,
17-Dec,889967,34394,855573,,,12/1/17 8:00,8
18-Jan,731667,22290,709377,,,1/1/18 8:00,8
18-Feb,858208,33538,824670,,,2/1/18 8:00,8
